ref_num,area,city,district,Mukatat,date,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18921290,منطقة الرياض,الخرج,غرب الهياثم,أخرى,1/1/2023,زراعي,أرض زراعية,1,215000,5000.0,43.0
18921338,منطقة الرياض,الخرج,قرب الثليماء,1548,1/1/2023,تجاري,قطعة أرض,1,290857,661.04,439.999
18921411,منطقة الرياض,الخرج,قرب الثليماء,1548,1/1/2023,تجاري,قطعة أرض,1,238752,542.62,439.9985
18923293,منطقة الرياض,الدرعيه,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,2092500,930.0,2250.0
18920890,منطقة الرياض,الدرعيه,عرقه,2216/أ,1/1/2023,زراعي,شقة,1,1340004,168.97,7930.4255
18919430,منطقة الرياض,الدرعيه,عرقه,2216/أ,1/1/2023,زراعي,شقة,1,1200028,158.38,7576.891
18920125,منطقة الرياض,الدرعيه,عقرباء,273/أ/2/س,1/1/2023,سكني,قطعة أرض,1,100000,500.0,200.0
18921658,منطقة الرياض,الدرعيه,عقرباء,273/أ/2/س,1/1/2023,سكني,قطعة أرض,1,80000,500.0,160.0
18919109,منطقة الرياض,الدلم,حي/أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,20000,460.0,43.4782
18915622,منطقة الرياض,الدلم,بدون والمسمى الاستراحات,أخرى,1/1/2023,سكني,قطعة أرض,1,50000,5000.0,10.0
18918253,منطقة الرياض,الدوادمي,حي/أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,95000,595.0,159.6638
18917798,منطقة الرياض,الدوادمي,حي/أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,15000,501.82,29.8911
18907962,منطقة الرياض,الدوادمي,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,60000,630.0,95.238
18917249,منطقة الرياض,الدوادمي,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,90000,476.0,189.0756
18923156,منطقة الرياض,الدوادمي,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,108000,600.0,180.0
18917978,منطقة الرياض,الدوادمي,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,130000,600.0,216.6666
18920061,منطقة الرياض,الدوادمي,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,110000,600.0,183.3333
18916574,منطقة الرياض,الرياض,اشبيليا,2714,1/1/2023,سكني,قطعة أرض,1,1150000,450.0,2555.5555
18917832,منطقة الرياض,الرياض,اشبيليا,3011,1/1/2023,سكني,قطعة أرض,1,136117,450.0,302.4822
18923510,منطقة الرياض,الرياض,اشبيليا,3183,1/1/2023,سكني,شقة,1,350000,166.67,2099.958
18921934,منطقة الرياض,الرياض,البيان,2670,1/1/2023,سكني,قطعة أرض,1,922500,450.0,2050.0
18907617,منطقة الرياض,الرياض,الحمراء,2040/ب,1/1/2023,سكني,قطعة أرض,1,1428600,450.0,3174.6666
18923527,منطقة الرياض,الرياض,الحمراء,2964,1/1/2023,سكني,قطعة أرض,1,2438100,580.5,4200.0
18920585,منطقة الرياض,الرياض,الخير,3312/أ,1/1/2023,سكني,قطعة أرض,1,1060000,800.0,1325.0
18922924,منطقة الرياض,الرياض,الخير,3312/أ,1/1/2023,تجاري,قطعة أرض,1,1500000,800.0,1875.0
18918629,منطقة الرياض,الرياض,الخير,3312/ب,1/1/2023,سكني,قطعة أرض,1,1100000,768.04,1432.217
18909568,منطقة الرياض,الرياض,الخير,3414,1/1/2023,سكني,قطعة أرض,1,430000,375.0,1146.6666
18922548,منطقة الرياض,الرياض,الخير,3416,1/1/2023,سكني,قطعة أرض,1,403000,260.0,1550.0
18923068,منطقة الرياض,الرياض,الخير,3537,1/1/2023,سكني,قطعة أرض,1,375000,437.5,857.1428
18923059,منطقة الرياض,الرياض,الخير,3537,1/1/2023,سكني,قطعة أرض,1,375000,437.5,857.1428
18923160,منطقة الرياض,الرياض,الخير,3537,1/1/2023,سكني,قطعة أرض,1,730000,782.0,933.5038
18909498,منطقة الرياض,الرياض,الخير,3537,1/1/2023,سكني,قطعة أرض,1,400000,375.0,1066.6666
18922574,منطقة الرياض,الرياض,الخير,3537,1/1/2023,سكني,قطعة أرض,1,600000,750.0,800.0
18922623,منطقة الرياض,الرياض,الخير,3539,1/1/2023,سكني,قطعة أرض,1,910000,825.0,1103.0303
18916190,منطقة الرياض,الرياض,الخير,3539,1/1/2023,سكني,قطعة أرض,1,550000,600.0,916.6666
18923588,منطقة الرياض,الرياض,الخير,3541,1/1/2023,سكني,قطعة أرض,1,400000,375.0,1066.6666
18920285,منطقة الرياض,الرياض,الخير,3541,1/1/2023,سكني,قطعة أرض,1,360000,375.0,960.0
18908000,منطقة الرياض,الرياض,الخير,3541,1/1/2023,سكني,قطعة أرض,1,350000,301.37,1161.3631
18896926,منطقة الرياض,الرياض,الخير,3541,1/1/2023,سكني,قطعة أرض,1,427000,375.0,1138.6666
18922088,منطقة الرياض,الرياض,الدار البيضاء,2705/أ,1/1/2023,سكني,قطعة أرض,1,372160,218.75,1701.3028
18915541,منطقة الرياض,الرياض,الدار البيضاء,3512,1/1/2023,سكني,قطعة أرض,1,857700,200.0,4288.5
18907693,منطقة الرياض,الرياض,الرابية,3046,1/1/2023,سكني,قطعة أرض,1,235000,400.0,587.5
18923274,منطقة الرياض,الرياض,الرابية,3095,1/1/2023,سكني,قطعة أرض,1,186000,360.0,516.6666
18907279,منطقة الرياض,الرياض,الرابية,3096,1/1/2023,سكني,قطعة أرض,1,430000,936.0,459.4017
18908864,منطقة الرياض,الرياض,الرابية,3097,1/1/2023,تجاري,قطعة أرض,1,235000,409.45,573.9406
18923930,منطقة الرياض,الرياض,الربوة,2071,1/1/2023,سكني,قطعة أرض,1,2700000,521.0,5182.3416
18923285,منطقة الرياض,الرياض,الرمال,3083,1/1/2023,سكني,قطعة أرض,1,1300000,375.0,3466.6666
18923548,منطقة الرياض,الرياض,الرمال,3121,1/1/2023,سكني,قطعة أرض,1,2150000,450.5,4772.475
18921573,منطقة الرياض,الرياض,الرمال,3242,1/1/2023,سكني,قطعة أرض,1,1000000,273.61,3654.8371
18922978,منطقة الرياض,الرياض,الرمال,3804,1/1/2023,سكني,قطعة أرض,1,1600000,312.5,5120.0
18920435,منطقة الرياض,الرياض,الروابى,1895,1/1/2023,تجاري,قطعة أرض,1,4300000,750.0,5733.3333
18923678,منطقة الرياض,الرياض,الروضة,3188,1/1/2023,سكني,قطعة أرض,1,5552500,816.0,6804.5343
18916536,منطقة الرياض,الرياض,الزهرة,1017,1/1/2023,سكني,قطعة أرض,1,650000,400.0,1625.0
18907181,منطقة الرياض,الرياض,الزهور,3048,1/1/2023,سكني,قطعة أرض,1,280000,450.0,622.2222
18922662,منطقة الرياض,الرياض,السعادة,2350,1/1/2023,تجاري,قطعة أرض,1,2600000,875.0,2971.4285
18920347,منطقة الرياض,الرياض,السعادة,2984,1/1/2023,زراعي,شقة,1,355000,131.3,2703.7319
18924020,منطقة الرياض,الرياض,السلام,1992,1/1/2023,سكني,قطعة أرض,1,2500000,375.0,6666.6666
18923797,منطقة الرياض,الرياض,السلى,1990,1/1/2023,سكني,قطعة أرض,1,2000000,287.5,6956.5217
18923227,منطقة الرياض,الرياض,السليمانية,689,1/1/2023,سكني,قطعة أرض,1,5500000,1250.0,4400.0
18923563,منطقة الرياض,الرياض,السويدى,1176,1/1/2023,سكني,قطعة أرض,1,984000,500.0,1968.0
18916022,منطقة الرياض,الرياض,السويدى,1638,1/1/2023,سكني,قطعة أرض,1,530000,360.0,1472.2222
18921102,منطقة الرياض,الرياض,السويدى,1638/ب,1/1/2023,سكني,قطعة أرض,1,961740,250.0,3846.96
18915954,منطقة الرياض,الرياض,الشفاء,2032,1/1/2023,سكني,شقة,1,357364,110.4,3236.9927
18918963,منطقة الرياض,الرياض,الشفاء,3272,1/1/2023,زراعي,شقة,1,530000,202.6,2615.9921
18921277,منطقة الرياض,الرياض,الصحافة,1637/س,1/1/2023,سكني,قطعة أرض,1,1118640,375.0,2983.04
18923552,منطقة الرياض,الرياض,العليا,772,1/1/2023,سكني,قطعة أرض,1,2030000,600.0,3383.3333
18917506,منطقة الرياض,الرياض,الفلاح,2999,1/1/2023,سكني,قطعة أرض,1,4000000,825.0,4848.4848
18923789,منطقة الرياض,الرياض,القادسية,1358/ب,1/1/2023,سكني,قطعة أرض,1,900000,375.0,2400.0
18854728,منطقة الرياض,الرياض,المربع,1212,1/1/2023,سكني,قطعة أرض,1,1776260,223.5,7947.472
18919050,منطقة الرياض,الرياض,المربع,1344,1/1/2023,سكني,شقة,1,663680,232.87,2850.0021
18921705,منطقة الرياض,الرياض,المصفاة,3200,1/1/2023,سكني,قطعة أرض,1,500000,715.09,699.2126
18921347,منطقة الرياض,الرياض,المصفاة,3200,1/1/2023,سكني,قطعة أرض,1,230000,595.5,386.23
18920479,منطقة الرياض,الرياض,المصفاة,3200,1/1/2023,سكني,قطعة أرض,1,230000,599.9,383.3972
18906601,منطقة الرياض,الرياض,المصفاة,3200,1/1/2023,سكني,قطعة أرض,1,225000,599.9,375.0625
18918056,منطقة الرياض,الرياض,المصفاة,3880/1,1/1/2023,سكني,قطعة أرض,1,1446808,1808.51,800.0
18920438,منطقة الرياض,الرياض,المصفاة,3880/1,1/1/2023,سكني,قطعة أرض,1,3235000,5000.0,647.0
18917866,منطقة الرياض,الرياض,المصيف,1324,1/1/2023,سكني,قطعة أرض,1,3600000,900.0,4000.0
18923031,منطقة الرياض,الرياض,المعذر,566,1/1/2023,سكني,قطعة أرض,1,850000,150.0,5666.6666
18918567,منطقة الرياض,الرياض,المعيزلية,2997,1/1/2023,سكني,قطعة أرض,1,1739550,876.65,1984.3152
18923617,منطقة الرياض,الرياض,الملز,بدون,1/1/2023,سكني,قطعة أرض,1,1200000,562.0,2135.2313
18923666,منطقة الرياض,الرياض,الملقا,2460,1/1/2023,سكني,شقة,1,655000,118.35,5534.4317
18922289,منطقة الرياض,الرياض,الملقا,3179,1/1/2023,زراعي,شقة,1,1249000,178.38,7001.906
18920207,منطقة الرياض,الرياض,حي/أخرى,بدون,1/1/2023,سكني,قطعة أرض,1,1538600,357.5,4303.7762
18923288,منطقة الرياض,الرياض,المونسية,3259,1/1/2023,سكني,قطعة أرض,1,1052000,540.0,1948.1481
18923356,منطقة الرياض,الرياض,المونسية,3259,1/1/2023,سكني,قطعة أرض,1,1052000,540.0,1948.1481
